Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2015-11-19,Paris Grand Mosque chairman backs military action in Syria against ISIS,ATP World Tour Finals: Perfect Roger Federer too good for Kei Nishikori,Paris attacks: 'La Marseillaise'  to be played at English Premier League games,Athletics doping scandal: Russia deemed 'non-compliant' by WADA,"MLS: Scoring champ Kei Kamara escapes civil war, thrives with Crew",Paris attacks at a glance: Thursday's developments,Richie McCaw: All Blacks great retires after record 148 caps,,,
2015-11-20,"After the Paris attacks, what next?",ATP World Tour Finals: Rafael Nadal perfect after outlasting David Ferrer,"France, 'at war,' fears the future",Man came face to face with terrorist before stadium bombing,Real Madrid vs. Barcelona: 'El Clasico' LIVE,"After Paris terror, 'Jungle' refugees fear yet more hatred, suspicion",Real Madrid vs. Barcelona: Lionel Messi's 'El Clasico' return?,Ski cuisine: World's best restaurants -- with altitude,"Winnie-the-Pooh's skull goes on display, reveals sweet tooth",Riding the storm: Chemo 'like having petrol pumped into you'
2015-11-21,El Clasico: Luis Suarez scores twice as Barcelona thrashes Real Madrid,Je Suis Paris: Ligue 1 returns after terror attacks on French capital,ATP Finals: Novak Djokovic to face Roger Federer in final,FIFA committee requests sanctions against Sepp Blatter and Michel Platini,,,,,,
2015-11-22,F1 stars enjoy a boys' weekend as the sport's leading female Susie Wolff retires,ATP World Tour Finals: Novak Djokovic caps his best season with title triumph,'A Moveable Feast:' Sales surge for Hemingway's Paris memoir,DP World Tour Championship: Rory McIlroy wins to wrap up Race to Dubai,Eagles of Death Metal: Many fans died trying to save friends in Paris attacks,,,,,
2015-11-23,Lydia Ko: Teenager scoops $1M LPGA Tour jackpot,Agnieszka Radwanska: Polish star targets grand slam glory in 2016,Lord's Prayer advert banned before 'Star Wars',"$21M Hatton Garden jewel heist biggest 'in English legal history,' lawyer says","Drunk Russian sailor crashes 7,000-ton ship into Scotland -- at full speed",Davis Cup: 'No panic' over final amid Belgian terror threat,Belgians respond to Brussels terror alert by flooding Twitter with cat pics,,,
2015-11-24,"France has been investigating radicalized public transit workers, source says",Champions League: Lionel Messi magic as Barcelona routs Roma,BlazerCon: How 'Two Men In Blazers' sold soccer to U.S.,Champions League LIVE: Matchday five,Zlatan Ibrahimovic: 'I'm very happy in Paris',"After Paris attacks, Europeans scramble to trace terror network",NBA: France's love affair with basketball -- on and off court,,,
2015-11-25,Champions League: Zlatan scores on Malmo return,"Zlatan Ibrahimovic: Pep Guardiola is 'not a man,' says Swedish star","Parisians resume daily life under tighter security, some fear",Dominik Paris: How brother's death inspires skiing's 'crazy man',Richard Dawkins draws criticism for 'clock boy' Ahmed Mohamed tweets,"NATO survived Cold War, but downed Russian jet provides biggest threat",George Best: Soccer's ultimate playboy?,,,
2015-11-26,'Shoot us or help us': 3 stories from refugee crisis you need to read,France: Document shows fear of radical airport workers as early as 2004,Controversial French comic Dieudonne sentenced for 'inciting hatred' in show,"Paris attacks: Politicians failed the people of Brussels, says Vincent Kompany",Davis Cup final: Belgium on high alert for Great Britain clash,"Why Tiger Woods isn't trendy, but Rickie Fowler is",FIFA: Soccer governing body donates watches worth $1.4M to charity,Powder that alarmed at Brussels mosque is flour,,
2015-11-27,"Paris attacks: Belgium must heal divisions, says Vincent Kompany","Davis Cup final: Great Britain, Belgium tied after first day","'Maybe it's our fault': Paris attacker's sister speaks of guilt, disbelief",Lindsey Vonn: 'I still love Tiger Woods',Formula One drivers pick the best bits - and the best man - of 2015,"Debris from SpaceX rocket found 4,000 miles from launch site, in UK",AP McCoy: Addict jockey's story hits the silver screen,Dear Santa: 'Please catch the man who shot me',New front line against ISIS: the classroom,German police arrest two in Berlin in plot to launch 'significant' attack
2015-11-28,Jamie Vardy: Leicester City striker breaks EPL record against Manchester United,La Liga: Lionel Messi on target for Barcelona against Real Sociedad,Davis Cup final 2015: Great Britain close to title after Murray brothers win,Friend: Paris attack suspect stopped in Brussels cafe afterward,Abu Dhabi GP: Nico Rosberg claims sixth straight pole,COP21: France introduces massive security measures ahead of climate summit,,,,
2015-11-29,Mikaela Shiffrin stuns slalom rivals with two huge World Cup wins,Aksel Lund Svindal wastes no time in ski World Cup comeback,Palace releases new photos of Princess Charlotte,Abu Dhabi Grand Prix: End of season deja vu as Nico Rosberg wins again,Davis Cup final: Andy Murray clinches title for Great Britain,Tyson Fury wrests heavyweight crowns from Wladimir Klitschko in ring upset,Body of downed Russian pilot back in Russia,World leaders arrive in Paris for climate conference,,
2015-11-30,"Ballon d'Or: Messi, Ronaldo and Neymar shortlisted",Equine therapy: Harnessing horses to conquer mental illness,Jonah Lomu: New Zealand bids farewell to rugby great with emotional haka,Paris terror attack suspect may be in Syria,Climate change: Why you should pay attention to the COP21 summit in Paris,Kobe Bryant: NBA great to retire at end of season,COP21 climate change summit: 'Never have the stakes been so high',,,
2015-12-01,"Explosion injures 5 near Istanbul subway, official says",MotoGP: Marc Marquez wants to end feud with Valentino Rossi,German Cabinet approves military assistance mission against ISIS in Syria,Robbers in panda onesies hit store,Eddie Aikau Memorial: Surfing stars chase big waves in Hawaii,COP21 climate change summit: Obama 'optimistic' about agreement,Moscow says Turkey shot down plane to protect oil trade with ISIS,,,
2015-12-02,"Rio 2016: After Paris, how prepared is Rio to secure the Olympics?",Justine Dufour-Lapointe: Skiing's 'tiger' thrives in sister act,Tiger Woods: Fallen golf great has 'nothing to look forward to',Gary Neville: Former Man Utd star appointed Valencia coach,'Mein Kampf' to be republished in Germany 70 years after Hitler's death,"Russia, Turkey trade accusations over who bought oil from ISIS","NATO formally invites Montenegro to join alliance, rankling Russia",What's behind Manchester City's multimillion pound deal with Chinese investors?,Britain launches airstrikes hours after Parliament backs ISIS bombings,
2015-12-03,Tennis wife tales: Secrets from inside the players' box,"UK jets target ISIS oilfield -- and group's income, defense ministry says",U.S. charges 16 FIFA officials in widening probe,,,,,,,
2015-12-04,Belgium seeks 2 tied to Paris suspect Abdeslam,Bode Miller: Skiing is no sport for old men - but I'll race on,Jack Nicklaus: Tiger Woods can still beat my majors record,Shaquille O'Neal: 'I spent $1M in about 45 minutes ... but it was well worth it',German parliament votes to expand ISIS fight,Senior European official: ISIS wants to hit UK; trail for Salah Abdeslam is cold,,,,
2015-12-05,"3 stabbed at London Tube station in terror attack, police say",English Premier League: The day of the underdog,Bayern stunned at Gladbach to lose its unbeaten Bundesliga record,,,,,,,
2015-12-06,'Feels like Tyson punched me' - Ted Ligety crashes out,"Vonn, two, three: Lindsey locks up Lake Louise hat-trick",#YouAintNoMuslimBruv: Brits unite to condemn London Tube attack,Big gains expected for far-right as France votes in regional elections,London police treating Tube station knife attack as 'terrorist incident',,,,,
2015-12-07,Soup kitchen refugees dream of Europe,Rogerio Ceni: The goalscoring goalkeeper retires,East vs. West: In search of the next Bruce Lee,"Storm Desmond: Floods, power outages hit northwest England",London subway stabbings suspect charged with attempted murder,Far-right Front National makes big gains in French elections,,,,
2015-12-08,Champions League: Manchester teams draw mixed results in Europe,Donald Trump: Comments won't 'impact' Dubai golf course,"Two men find 100,000 euros in Danube, might get to keep it all",NBA fashion: Karl-Anthony Towns' draft day dilemma,Bubba Watson: I'll quit if I get to world No. 1,Iten: The village that manufactures track stars,"Russia gives France a puppy to replace Diesel, dog killed in Paris raid",,,
2015-12-09,Champions League: Chelsea and Arsenal make it through to last 16,'Miracle' cow survives being carried 15 miles in flood,Time magazine names German leader Angela Merkel its Person of the Year,Roger Federer splits with coach Stefan Edberg ahead of 2016 season,Kellie Maloney: 'Tyson Fury a monster who's crossed the line',"NBA fashion: Chris Bosh, LeBron James dress to impress","Paris attacks: 'I would have killed him,' Bataclan bomber's father says",Tyson Fury stripped of heavyweight title less than two weeks after winning it,,
2015-12-10,Karim Benzema: Real Madrid star suspended by France over blackmail case,Hoverboard thief: Man robs store on mini scooter,French prosecutors to probe Eugene 2021 World Championships bid,Former French President Jacques Chirac hospitalized in Paris,Tiger Woods: Golfer compares himself to Lionel Messi and Cristiano Ronaldo,"Geneva police hunting 5 suspects related to Paris attacks, source says",Amputee soldier's heartfelt Muslim Facebook post goes viral,Russia's middle class: We don't blame Putin,How skateboards healed heartache and brought hope to Afghanistan,
2015-12-11,Frankie Dettori crowned 2015 'World's Best Jockey',Geneva security remains high amid terror alert,Brazen thief robs Paris jewelry store across from presidential palace,Radical UK cleric Anjem Choudary pleads not guilty to supporting ISIS,Sonny Bill Williams sets sights on Olympic sevens gold,Euro 2016: 'We shouldn't give in' after Paris terror says 1972 massacre survivor,Laura Graves: Dressage star who tamed 'Diddy' on brink of Olympic dream,Dona Bertarelli: Swiss billionaire attempts to break around the world record,Michel Platini: Frenchman's 90-day FIFA suspension upheld by CAS,Euro 2016: The secret to success
2015-12-12,HSBC Cape Town Sevens: Underdog Kenya stuns host Springboks,Euro 2016: Host France to open against Romania in Stade de France,Rio 2016: The perfect pair? Federer and Hingis to team up in mixed doubles,Lindsey Vonn wraps up fourth straight World Cup win,2 arrested on suspicion of terror offenses; Geneva remains on alert,,,,,
2015-12-13,La Liga: 'Yellow Submarine' sinks wasteful Real,HSBC Cape Town Sevens: Springboks shrug off Kenya loss to retain title,English Premier League: Tight at the top as Arsenal takes over at summit,National Front trails in French regional elections,Fire kills 23 people at Russian psychiatric hospital,,,,,
2015-12-14,Leicester City 2-1 Chelsea: EPL fairytale goes on,Jaber Al-Ahmad stadium: 'Ghost' ground's relaunch hit by FIFA wrangle,Ryder Cup 2022: Rome to host golf gladiators for first time,"Champions League: Arsenal faces Barcelona, Bayern Munich vs. Juventus","French teacher made up story of ISIS attack, official says",Slalom House: Ski slope could be built on top of apartment block,France's National Front thwarted in regional elections,Russia fires on Turkish ship to 'avoid collision' in Aegean Sea,,
2015-12-15,Germany arrests Islamist preacher accused of supporting terror group,Has Nazi gold train been found? Search teams disagree,European Commission proposes stronger border control agency,"Missing Paris suspect Salah Abdeslam wore discarded suicide belt, source says",Kellie Maloney: 'I should have been born a woman',,,,,
2015-12-16,Abby Wambach: 'I'd fire Jurgen Klinsmann',Serena Williams vs. American Pharoah: The Sports Illustrated fallout,Disillusioned Siberians want cat to be mayor,Marc Marquez: MotoGP star's moment of destiny,"Vladimir Putin: Russian 'poorly treated,' says ski great Jean-Claude Killy",Chess prodigy Magnus Carlsen: 'Bobby Fischer is my dream opponent',Richard Williams: 'I was close to being killed so many times',,,
2015-12-17,"Belgium law delayed police search for Paris terror suspect, officials say",Jose Mourinho: Social media reacts to manager's sacking,"Snow polo: 'Sexy' winter version of a man, a horse and a stick",Source: Paris ringleader Abaaoud was on Greek island of Leros,Jose Mourinho: 'Special One' sacked by Chelsea,Spanish Prime Minister Mariano Rajoy punched by teen at campaign event,Putin says Turkish downing of Russian plane was an 'enemy act',,,
